frame_index,plugin_timestamp,producer_timestamp,write_to_buffer_time,read_from_buffer_time,write_to_led_buffer_time,read_from_led_buffer_time,render_time,item_duration
31,1.9999999999999998,1.9999999999999998,1753497016.3162158,1753497016.4374895,1753497016.4978242,1753497016.4985461,1753497016.5166178,5.0
32,2.0666666666666664,2.0666666666666664,1753497016.3861403,1753497016.4996464,1753497016.5608087,1753497016.5615258,1753497016.5785873,5.0
33,2.1333333333333333,2.1333333333333333,1753497016.4384828,1753497016.5626633,1753497016.624778,1753497016.625493,1753497016.6422985,5.0
34,2.2,2.2,1753497016.5004022,1753497016.6266692,1753497016.6887772,1753497016.6895037,1753497016.7073188,5.0
35,2.266666666666667,2.266666666666667,1753497016.5628376,1753497016.6912382,1753497016.7527337,1753497016.7534688,1753497016.770349,5.0
36,2.333333333333334,2.333333333333334,1753497016.6270227,1753497016.754573,1753497016.8155594,1753497016.8162699,1753497016.833294,5.0
37,2.400000000000001,2.400000000000001,1753497016.691186,1753497016.8174834,1753497016.8785267,1753497016.879255,1753497016.8964052,5.0
38,2.4666666666666677,2.4666666666666677,1753497016.7557845,1753497016.8805966,1753497016.9421074,1753497016.9428396,1753497016.9600828,5.0
39,2.5333333333333345,2.5333333333333345,1753497016.8179116,1753497016.9442232,1753497017.0065296,1753497017.0080233,1753497017.026737,5.0
40,2.6000000000000014,2.6000000000000014,1753497016.8808372,1753497017.009424,1753497017.0710757,1753497017.0719998,1753497017.0898178,5.0
41,2.6666666666666683,2.6666666666666683,1753497016.9445848,1753497017.0734231,1753497017.1347268,1753497017.1355984,1753497017.152779,5.0
42,2.733333333333335,2.733333333333335,1753497017.0088236,1753497017.1367364,1753497017.1979997,1753497017.1987157,1753497017.2159514,5.0
43,2.800000000000002,2.800000000000002,1753497017.0737574,1753497017.1998742,1753497017.2604434,1753497017.261086,1753497017.2726526,5.0
44,2.866666666666669,2.866666666666669,1753497017.1375415,1753497017.2621238,1753497017.3235948,1753497017.3243718,1753497017.3423164,5.0
45,2.933333333333336,2.933333333333336,1753497017.2010472,1753497017.3257089,1753497017.3850567,1753497017.3857596,1753497017.4016194,5.0
